fir_number,date,district,area,crime_type,sections,modus_operandi,status,is_synthetic
FIR-2025-UDU-0001,2025-08-21,Udupi,Agate Street,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2025-SHI-0002,2025-12-18,Shivamogga,Rao Nagar,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2025-KAL-0003,2025-03-05,Kalaburagi,Kant,NDPS,NDPS Act 20,courier parcel concealment,court-pending,True
FIR-2024-MAN-0004,2024-08-29,Mandya,Nath Nagar,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2024-VIJ-0005,2024-04-03,Vijayapur,Tailor Road,Extortion,BNS 308,protection money demand,convicted,True
FIR-2025-KAL-0006,2025-09-02,Kalaburagi,Sinha Ganj,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-DAK-0007,2025-08-25,Dakshina Kannada,Dey Zila,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2025-BAL-0008,2025-05-30,Ballari,Prabhakar Chowk,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2025-BAG-0009,2025-12-30,Bagalkot,Khanna Path,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2025-RAI-0010,2025-11-01,Raichur,Srinivas Nagar,Robbery,BNS 309,knife-point street robbery,charge-sheeted,True
FIR-2025-KAL-0011,2025-11-12,Kalaburagi,Kant,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2024-SHI-0012,2024-10-21,Shivamogga,Parmer Circle,Murder,BNS 103,gang rivalry,convicted,True
FIR-2024-DHA-0013,2024-08-19,Dharwad,Zachariah Street,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-KAL-0014,2025-11-04,Kalaburagi,Chokshi Path,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2024-DAK-0015,2024-06-08,Dakshina Kannada,Shetty Zila,Murder,BNS 103,property dispute,court-pending,True
FIR-2025-BEL-0016,2025-03-16,Belagavi,Pillay Chowk,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2024-KAL-0017,2024-08-04,Kalaburagi,Narang Nagar,Theft,BNS 303,pickpocketing in transit,closed,True
FIR-2024-BAG-0018,2024-01-20,Bagalkot,Khanna Path,Cheating,BNS 318,land document forgery,convicted,True
FIR-2024-UDU-0019,2024-09-06,Udupi,Kalita,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2025-VIJ-0020,2025-06-06,Vijayapur,Yogi Ganj,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
